seed,method,estimate,bias,alpha,beta,propensity_spec,outcome_spec,setting,n,truth,truth_key
1,IPW,1.0543800486155381,0.054380048615538135,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
1,IPW.fal,0.4685722541400841,-0.5314277458599159,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
1,OR,1.01250453783496,0.012504537834959972,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
1,OR.fal,0.7163289986995283,-0.28367100130047174,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
1,DR,1.048921469376799,0.048921469376798976,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
1,DR.ofal,1.0527898946532341,0.05278989465323414,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
1,DR.pfal,1.0036257749892543,0.0036257749892543156,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
1,DR.o&pfal,0.5668873846707263,-0.4331126153292737,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
2,IPW,0.9656961950133336,-0.03430380498666641,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
2,IPW.fal,0.4166378478773113,-0.5833621521226887,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
2,OR,0.9305125949547363,-0.06948740504526374,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
2,OR.fal,0.5813188168657454,-0.4186811831342546,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
2,DR,0.9054604307081906,-0.0945395692918094,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
2,DR.ofal,0.9587251615560473,-0.041274838443952744,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
2,DR.pfal,0.9253714240090435,-0.07462857599095651,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
2,DR.o&pfal,0.4905241243879554,-0.5094758756120445,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
3,IPW,0.5281999438112034,-0.4718000561887966,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
3,IPW.fal,0.11493566993840904,-0.885064330061591,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
3,OR,0.6970916874583198,-0.30290831254168016,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
3,OR.fal,0.33252917437936663,-0.6674708256206334,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
3,DR,0.7080111929853412,-0.2919888070146588,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
3,DR.ofal,0.5196097831240575,-0.4803902168759425,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
3,DR.pfal,0.7038906316039073,-0.2961093683960927,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
3,DR.o&pfal,0.21492789080497243,-0.7850721091950276,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
4,IPW,1.2186881839968242,0.21868818399682421,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
4,IPW.fal,0.7741947864116948,-0.2258052135883052,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
4,OR,1.0665056983233279,0.06650569832332787,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
4,OR.fal,0.9711546461576622,-0.028845353842337773,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
4,DR,1.0646986186397736,0.06469861863977355,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
4,DR.ofal,1.2215085192787967,0.22150851927879667,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
4,DR.pfal,1.0849452437249962,0.08494524372499623,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
4,DR.o&pfal,0.964838830015362,-0.03516116998463803,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
5,IPW,0.9473121731608267,-0.05268782683917328,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
5,IPW.fal,0.5486273180009493,-0.4513726819990507,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
5,OR,1.0600045530897162,0.060004553089716195,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
5,OR.fal,0.7131456194919108,-0.2868543805080892,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
5,DR,1.054716840205374,0.05471684020537393,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
5,DR.ofal,0.9705939661068367,-0.02940603389316332,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
5,DR.pfal,1.0532065085605227,0.05320650856052267,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
5,DR.o&pfal,0.6408617340097063,-0.35913826599029375,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
6,IPW,1.0278401345339911,0.027840134533991145,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
6,IPW.fal,0.6765524730389719,-0.3234475269610281,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
6,OR,0.9757771529092829,-0.024222847090717092,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
6,OR.fal,0.8508759583930113,-0.14912404160698867,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
6,DR,0.9437125274611408,-0.05628747253885924,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
6,DR.ofal,1.0261274971801477,0.02612749718014773,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
6,DR.pfal,0.9923755687880391,-0.00762443121196088,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
6,DR.o&pfal,0.828459563159122,-0.17154043684087805,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
7,IPW,0.8493434201462219,-0.15065657985377812,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
