seed,method,estimate,bias,alpha,beta,propensity_spec,outcome_spec,setting,n,truth
1,IPW,0.9525242720322301,-0.04747572796776989,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,10000,1.0
1,IPW.fal,0.4341610039255724,-0.5658389960744277,"[1.0, -1.0]",,false,,A,10000,1.0
1,OR,0.9497254428056755,-0.0502745571943245,,"[0.0, 1.0, 2.5, 3.0]",,true,A,10000,1.0
1,OR.fal,0.6358181198926202,-0.36418188010737984,,"[0.0, 0.0, 0.0]",,false,A,10000,1.0
1,DR,0.9514082464210089,-0.04859175357899115,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,10000,1.0
1,DR.ofal,0.9547134364722119,-0.04528656352778815,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,10000,1.0
1,DR.pfal,0.9456873862682244,-0.05431261373177565,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,10000,1.0
1,DR.o&pfal,0.5610680099365982,-0.4389319900634018,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,10000,1.0
2,IPW,1.0027172871192267,0.0027172871192266967,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,10000,1.0
2,IPW.fal,0.4369055665744787,-0.5630944334255212,"[1.0, -1.0]",,false,,A,10000,1.0
2,OR,0.9922884010978696,-0.007711598902130357,,"[0.0, 1.0, 2.5, 3.0]",,true,A,10000,1.0
2,OR.fal,0.5908912807680997,-0.4091087192319003,,"[0.0, 0.0, 0.0]",,false,A,10000,1.0
2,DR,1.0001038609173674,0.00010386091736735992,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,10000,1.0
2,DR.ofal,1.0038227622056093,0.003822762205609287,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,10000,1.0
2,DR.pfal,0.9923841081772414,-0.007615891822758569,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,10000,1.0
2,DR.o&pfal,0.5196765268461206,-0.48032347315387935,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,10000,1.0
3,IPW,1.0051396512837232,0.005139651283723179,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,10000,1.0
3,IPW.fal,0.4032818687112522,-0.5967181312887477,"[1.0, -1.0]",,false,,A,10000,1.0
3,OR,0.9282765727901219,-0.07172342720987812,,"[0.0, 1.0, 2.5, 3.0]",,true,A,10000,1.0
3,OR.fal,0.5755832061773811,-0.4244167938226189,,"[0.0, 0.0, 0.0]",,false,A,10000,1.0
3,DR,0.934292017058016,-0.06570798294198399,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,10000,1.0
3,DR.ofal,1.0000010024146557,1.0024146557263691e-06,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,10000,1.0
3,DR.pfal,0.9271721970777322,-0.07282780292226776,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,10000,1.0
3,DR.o&pfal,0.4937074629920344,-0.5062925370079656,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,10000,1.0
