seed,method,estimate,bias,alpha,beta,propensity_spec,outcome_spec,setting,n,truth
10001,IPW,2.0919892249922643,0.09198922499226425,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10001,IPW.fal,1.8198080157573626,-0.18019198424263738,"[0.0, 2.0]",,false,,B,1000,2.0
10001,OR,2.2450509524581332,0.24505095245813324,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10001,OR.fal,0.4818397709005235,-1.5181602290994765,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10001,DR,2.279193457671892,0.2791934576718922,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10001,DR.ofal,2.146237715968967,0.14623771596896695,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10001,DR.pfal,2.24938332889476,0.24938332889475978,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10001,DR.o&pfal,2.3760122452281687,0.3760122452281687,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10002,IPW,1.3572119126432445,-0.6427880873567555,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10002,IPW.fal,1.2820617371569853,-0.7179382628430147,"[0.0, 2.0]",,false,,B,1000,2.0
10002,OR,1.482388484512367,-0.5176115154876331,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10002,OR.fal,0.09257491948497448,-1.9074250805150255,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10002,DR,1.425345422794887,-0.574654577205113,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10002,DR.ofal,1.351306422440186,-0.6486935775598139,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10002,DR.pfal,1.4718186216946698,-0.5281813783053302,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10002,DR.o&pfal,1.8881760958553446,-0.11182390414465537,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10003,IPW,2.7337432913482833,0.7337432913482833,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10003,IPW.fal,2.2125091040878635,0.2125091040878635,"[0.0, 2.0]",,false,,B,1000,2.0
10003,OR,2.483562284747621,0.4835622847476211,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10003,OR.fal,0.4942555612768639,-1.505744438723136,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10003,DR,2.55585271930271,0.5558527193027101,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10003,DR.ofal,2.7003657946679036,0.7003657946679036,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10003,DR.pfal,2.5520428176252024,0.5520428176252024,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10003,DR.o&pfal,2.6437151411741198,0.6437151411741198,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10004,IPW,1.9122884488043037,-0.08771155119569629,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10004,IPW.fal,2.0579245284344507,0.05792452843445073,"[0.0, 2.0]",,false,,B,1000,2.0
10004,OR,1.9676968470685123,-0.032303152931487666,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10004,OR.fal,0.4034871121161581,-1.596512887883842,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10004,DR,1.9407821263607852,-0.059217873639214824,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10004,DR.ofal,1.8168225620073013,-0.1831774379926987,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10004,DR.pfal,2.0160470786383584,0.016047078638358414,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10004,DR.o&pfal,2.5435018311663535,0.5435018311663535,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10005,IPW,1.9621527141090234,-0.037847285890976634,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10005,IPW.fal,1.455726766839626,-0.5442732331603739,"[0.0, 2.0]",,false,,B,1000,2.0
10005,OR,1.9285942127168094,-0.07140578728319058,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10005,OR.fal,0.44495146061130847,-1.5550485393886915,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10005,DR,1.8858603202141189,-0.11413967978588113,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10005,DR.ofal,1.9000075113863617,-0.0999924886136383,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10005,DR.pfal,1.9264347103282597,-0.07356528967174025,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10005,DR.o&pfal,2.0416138056149005,0.04161380561490047,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10006,IPW,1.5882849570638127,-0.4117150429361873,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10006,IPW.fal,1.5156892423046069,-0.4843107576953931,"[0.0, 2.0]",,false,,B,1000,2.0
10006,OR,1.7730483791543348,-0.22695162084566523,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10006,OR.fal,0.4360575086816565,-1.5639424913183435,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10006,DR,1.8226898080716099,-0.17731019192839015,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10006,DR.ofal,1.5554783315974392,-0.4445216684025608,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10006,DR.pfal,1.7626005308156487,-0.23739946918435129,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10006,DR.o&pfal,1.964380126057371,-0.035619873942629,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10007,IPW,2.258596482524509,0.25859648252450906,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10007,IPW.fal,1.9336459558956616,-0.06635404410433843,"[0.0, 2.0]",,false,,B,1000,2.0
10007,OR,1.8905243352195291,-0.10947566478047088,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10007,OR.fal,0.42238007924700316,-1.5776199207529968,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10007,DR,1.9819065058225267,-0.0180934941774733,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10007,DR.ofal,2.0199868267495513,0.019986826749551323,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10007,DR.pfal,1.9357067494043823,-0.06429325059561775,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10007,DR.o&pfal,2.4684256005233087,0.4684256005233087,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10008,IPW,2.054376467573289,0.054376467573288956,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10008,IPW.fal,2.022446166480661,0.02244616648066078,"[0.0, 2.0]",,false,,B,1000,2.0
10008,OR,2.327094179576952,0.3270941795769522,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10008,OR.fal,0.5585758169598873,-1.4414241830401127,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10008,DR,2.37300690320164,0.37300690320163987,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10008,DR.ofal,2.026468570681616,0.02646857068161612,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10008,DR.pfal,2.3474330616334087,0.3474330616334087,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10008,DR.o&pfal,2.436958003841263,0.43695800384126304,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10009,IPW,1.6827886689058944,-0.3172113310941056,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10009,IPW.fal,1.5909218994509575,-0.4090781005490425,"[0.0, 2.0]",,false,,B,1000,2.0
10009,OR,1.908114064162552,-0.09188593583744797,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10009,OR.fal,0.3671910965603458,-1.6328089034396542,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10009,DR,1.7804435897250788,-0.21955641027492123,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10009,DR.ofal,1.6144130308766365,-0.38558696912336354,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10009,DR.pfal,1.8531385107001395,-0.14686148929986054,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10009,DR.o&pfal,2.1841474812320465,0.1841474812320465,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10010,IPW,1.9212991952333232,-0.07870080476667685,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10010,IPW.fal,1.9970709327967984,-0.0029290672032016296,"[0.0, 2.0]",,false,,B,1000,2.0
10010,OR,2.057156934286979,0.05715693428697888,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10010,OR.fal,0.08521817756408484,-1.9147818224359152,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10010,DR,1.9844016844336692,-0.015598315566330845,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10010,DR.ofal,1.9515063832370547,-0.04849361676294528,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10010,DR.pfal,2.000635636282674,0.0006356362826740458,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10010,DR.o&pfal,2.3999768431980004,0.3999768431980004,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10011,IPW,1.7445782093850366,-0.2554217906149634,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10011,IPW.fal,1.3950693111660408,-0.6049306888339592,"[0.0, 2.0]",,false,,B,1000,2.0
10011,OR,1.8082278531511178,-0.19177214684888222,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10011,OR.fal,0.5680720183558674,-1.4319279816441326,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10011,DR,1.7285900493465245,-0.2714099506534755,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10011,DR.ofal,1.76760721905104,-0.2323927809489601,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10011,DR.pfal,1.6715942055058797,-0.32840579449412033,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10011,DR.o&pfal,2.0226315061198026,0.02263150611980258,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10012,IPW,2.4038403439189633,0.4038403439189633,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10012,IPW.fal,2.443448378788227,0.44344837878822707,"[0.0, 2.0]",,false,,B,1000,2.0
10012,OR,2.318879344080164,0.31887934408016383,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10012,OR.fal,0.40641604160191946,-1.5935839583980806,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10012,DR,2.3915625521064956,0.3915625521064956,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10012,DR.ofal,2.441303553896364,0.4413035538963639,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10012,DR.pfal,2.392836589411244,0.3928365894112442,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10012,DR.o&pfal,2.932766326224548,0.9327663262245478,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10013,IPW,1.8830431938470946,-0.11695680615290538,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10013,IPW.fal,1.505715048944035,-0.49428495105596504,"[0.0, 2.0]",,false,,B,1000,2.0
10013,OR,2.0167519293033283,0.01675192930332825,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
